CompanyID,CompanyName,Department,Address,City,Province,PostalCode,ContactName,ContactPhone,AccountNumberExactLenght,AccountNumberMinimumLength,AccountNumberMaximumLength,EditRulesForAccountNumbers,DataTypeFormatForAccountNumbers,ValidStartForAccountNumbers,InvalidStartForAccountNumbers,ValidEndForAccountnumbers,InvalidEndForAccountNumbers,Timestamp,CCIN,CompanyFrenchName,CompanyEnglishShortName,CompanyFrenchShortName,LanguageIndicator,EffectiveDate,CurrentRecord,CreditorType
"47","VISA - CIBC","Visa Processing Centre","Toronto Data Centre, Waterpark Pl.","TORONTO","ON","M5R 3B1","Frank Provenzano X 3858","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","4500 4501 4502 4503 4504 4505 452550","=""000 4538001  4503750 4503751  478901  478907   478986   4506  403274   471506 379180 379181""","","","4/16/2015 9:48:33 AM","=""00000000""","VISA - CIBC","VISA - CIBC","VISA - CIBC","E","9/12/2000 12:00:00 AM","Y","VSA"
"49","VISA - TORONTO DOMINION","Accounting and Administration","Toronto Dominion Centre, PO Box 300","TORONTO","ON","M5R 3N1","xxxxxxx","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","45203 45206 45207 45208 452090 452091 452092 452001 452005 452043 455121 455122 452002 452088 45207","4522950 4313 452234 452060 452061 452062 452063 452064 452065 4085                                 ","","","7/30/2012 1:45:19 PM","=""00000000""","","VISA TD BANK","VISA TD BANK","E","4/10/2000 12:00:00 AM","Y","VSA"
"51","VISA - HOME TRUST","","145 King Street W. Suite 1910","TORONTO","ON","M5H 1J8","Adam D'Sousa","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","440396  429667                                                                                     ","","","","7/30/2012 1:44:05 PM","=""00000000""","VISA - HOME TRUST","VISA HOME TRUST","VISA HOME TRUST","E","2/1/2001 12:00:00 AM","Y","VSA"
"52","US BANK CANADA - VISA","","120 Adelade Street West, Suite 2300","TORONTO","ON","M5H 1T1","Bev Henry","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","471536    471516                                                                                   ","","","","6/16/2011 9:15:53 AM","=""00000000""","US BANQUE CANADA - VISA","US BANK CDA","US BANQUE CDA","E","4/18/2001 12:00:00 AM","Y","VSA"
"54","ELAN FINANCIAL SERVICES - VISA","c/o US Bank Canada - Visa","120 Adelaide Street West, 23rd Fl.","TORONTO","ON","M5H 1T1","Shannon Smith","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","471516   471536                                                                                    ","","","","12/7/2008 4:53:56 AM","=""00000000""","","ELAN SER-VISA","ELAN SER-VISA","E","6/7/2007 12:00:00 AM","Y","VSA"
"75","OLIVER'S PROPANE PLUS","","Box 3227","HIGH PRAIRIE","AB","T0G 1E0","Tanya Plante","=""0""","99","","30","","AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","","","12/7/2008 4:53:56 AM","=""00000000""","","OLIVER'S PROPAN","OLIVER'S PROPAN","E","2/15/1998 12:00:00 AM","Y","CR"
"76","VISA ROYAL BANK","","320 Front St. W.","TORONTO","ON","M5R 3N1","Sukhinder","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","","5 451505 4519 4715 446547 453094 4731 4777 4325 4900 451016 9 451403 451603 453703                 ","","","3/10/2014 2:31:46 PM","=""00000000""","VISA ROYAL BANK","VISA ROYAL BNK","VISA ROYAL BNK","E","5/17/2000 12:00:00 AM","Y","VSA"
"78","VISA, LAURENTIAN BANK","","xxxxx","TORONTO","ON","M5R 3N1","xxxxx","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","425702  454698  45449701 4544992  45449830  45449871 422079                                        ","","","","9/16/2014 2:11:40 PM","=""00000000""","VISA, BANQUE LAURENTIENNE","VISA LAURENTIAN","VISA LAURENTIEN","E","6/21/2000 12:00:00 AM","Y","VSA"
"79","VISA, DESJARDINS","","425 Avenue Viger Ouest","MONTREAL","QC","H2Z 1W5","Louise Prince","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","4530  4540 485986                                                                                  ","453094  4530990                                                                                    ","","","9/24/2014 10:37:49 AM","=""00000000""","VISA, DESJARDINS","VISA DESJARDINS","VISA DESJARDINS","E","2/15/1998 12:00:00 AM","Y","VSA"
"105","HOME HARDWARE (LAC DU BONNET MB)","","Box 249","LAC DU BONNET","MB","R0E 1A0","Karen Dancyt","=""0""","99","","=""06""","","AAAAAA","","","","","11/21/2012 9:50:26 AM","=""00000000""","","HOME HARDWARE","HOME HARDWARE","E","2/15/1998 12:00:00 AM","Y","CR"
"106","AURORA ONT, TOWN - WATER","TREASURY","100 JOHN WEST WAY","AURORA","ON","L4G 6J1","Paul Dillman","=""0""","10","","99","","NNNNNNNNNN","=""0                                                                                                  ""","","","","5/30/2012 2:57:23 PM","90004383","","AURORA-WATER","AURORA-WATER","E","2/15/1998 12:00:00 AM","Y","CR"
"108","BEAUSEJOUR MB (TOWN OF) TAXES","","Box 1028","BEAUSEJOUR","MB","R0E 0C0","Kandace Lavoie","=""0""","99","","10","","NNNNNNNNNN","","","","","1/21/2013 12:45:00 PM","=""00000000""","BEAUSEJOUR MB (TOWN OF) TAXES","BEAUSEJOUR TAX","BEAUSEJOUR TAX","E","2/15/1998 12:00:00 AM","Y","CR"
"109","BEAUSEJOUR MB (TOWN OF) UTILITIES","","Box 1028","BEAUSEJOUR","MB","R0E 0C0","Kandace Lavoie","=""0""","99","","10","","NNNNNNNNNN","","","","","1/21/2013 12:45:24 PM","=""00000000""","","BEAUSEJOUR UTIL","BEAUSEJOUR UTIL","E","2/15/1998 12:00:00 AM","Y","CR"
"110","BELLEVILLE (CITY) WATER","TREASURER AND ASST SECRETARY","P.O. BOX 939","BELLEVILLE","ON","K8P 3Z9","Carolyn Bos","=""0""","99","","11","","XXXXXXXXXXX","","","","","10/20/2011 11:47:41 AM","90045259","","BELLEVILLE WTR","BELLEVILLE WTR","E","10/19/2001 12:00:00 AM","Y","CR"
"112","BRANTFORD POWER INC.","","50 WELLINGTON ST.","BRANTFORD","ON","N3T 5N8","Jim Steele","=""0""","99","","12","","NNNNNNNNNNNN","","","","","5/9/2013 8:32:46 AM","90003712","","BRANTFORD POWER","BRANTFORD POWER","E","2/15/1998 12:00:00 AM","Y","CR"
"114","BROCKVILLE ONT, CITY - TAXES","REVENUE DEPT., TREASURY","1 KING STREET WEST","BROCKVILLE","ON","K6V 3P5","Mark McDonald","=""0""","19","","99","","NNNNNNNNNNNNNNNNNNN","","","","","2/27/2014 9:06:57 AM","90019288","","BROCKVILLE-TXS","BROCKVILLE-TXS","E","2/15/1998 12:00:00 AM","Y","CR"
"115","BURLINGTON ONT - HYDRO ELECTRIC","BILLING & COLLECTING","1340 BRANT STREET","BURLINGTON","ON","L7P 1X8","Lynn Johl","=""0""","99","","12","","NNNNNNNNNNNN","","","","","6/16/2011 9:22:39 AM","90002189","","BURLINGTN HYDRO","BURLINGTN HYDRO","E","2/15/1998 12:00:00 AM","Y","CR"
"116","CABLEVISION DU NORD DE QUEBEC","","45 Hotel De Ville","VAL DOR","QC","J9P 2M5","Sylvie Bacon","=""0""","7","","99","","NNNNNNN","","","","","2/18/2014 1:56:37 PM","90021140","","CABLEVISION PQ","CABLEVISION PQ","E","2/15/1998 12:00:00 AM","Y","CR"
"119","CHANDLER PQ (VILLE DE) TAXES","","35 Commerciale Ouest C.P. 459","CHANDLER","QC","G0C 1K0","Yan Ritchie","=""0""","99","","21","","NNNN NNNN NN NNNN NNN NNNN","","","","","3/28/2011 1:41:29 PM","=""00000000""","","CHANDLER TAXES","CHANDLER TAXES","E","2/15/1998 12:00:00 AM","Y","CR"
"120","CAMBRIDGE/NTH DUMFRIES ONT - HYDRO","BILLING & COLLECTION SUPV","1500 BISHOP STREET,","CAMBRIDGE","ON","N1R 5X6","Pat Lemieux","=""0""","99","","14","","NNNNNNNNNNNNNN","","","","","6/18/2012 3:56:32 PM","90002544","","CAMB/NT DUM-HYD","CAMB/NT DUM-HYD","E","8/4/2000 12:00:00 AM","Y","CR"
"121","CANADIAN NIAGARA POWER INC.","ACCOUNTING","1130 BERTIE STREET","FORT ERIE","ON","L2A 5Y2","Kristine Carmichael","=""0""","7","","99","","NNNNNNN","1                                                                                                  ","","","","6/18/2012 4:06:12 PM","90008003","","CDN NIAGARA PWR","CDN NIAGARA PWR","E","10/10/2000 12:00:00 AM","Y","CR"
"122","CANADIAN TIRE ACCEPTANCE LTD","PAYMENT PROCESSING","3449 Superior Court","OAKVILLE","ON","L6L 0C4","Karen Agostino","=""0""","10","","99","M","NNNNNNNNNN","","600627                                                                                             ","","","9/28/2012 9:19:53 AM","90007772","CANADIAN TIRE ACCEPTANCE LTD","CDN TIRE ACCPT","CDN TIRE ACCPT","E","2/15/1998 12:00:00 AM","Y","CR"
"123","ROGERS (WIRELESS, HOME PHONE)","REMITTANCE PROCESSING CENTER","855 YORK MILLS ROAD","NORTH YORK","ON","M3B 1Z1","Lilly Samuels","=""0""","99","","10","M","NNNNNNNNNN","","=""0                                                                                                  ""","","","11/28/2014 8:49:07 AM","90006201","ROGERS SANS-FILS MAISON TEL.","ROGERS WIRELESS","ROGERS SAN-FILS","E","3/2/2000 12:00:00 AM","Y","CR"
"124","ENTEGRUS POWERLINES INC","","320 QUEEN STREET","CHATHAM","ON","N7M 5K2","Claudette Belanger","=""0""","13","","99","","NNNNNNNNNNNNN","","","","","2/18/2015 2:36:54 PM","90000680","","ENTEGRUS SVC","ENTEGRUS SVC","E","5/8/2000 12:00:00 AM","Y","CR"
"128","LAKEFRONT UTILITY SERVICES(COBOURG)","BILLING","207 DIVISION ST.","COBOURG","ON","K9A 4L3","Michelle Gillespie","=""0""","99","","10","","NNNNNNNNNN","","","","","4/12/2012 9:56:49 AM","90004070","","LAKEFRONT UTIL","LAKEFRONT UTIL","E","2/15/1998 12:00:00 AM","Y","CR"
"129","CORNWALL ELECTRIC-ONT.","COMPTROLLER","1001 SYDNEY STREET","CORNWALL","ON","K6H 3K1","Angele McCartney","=""0""","7","","99","","NNNNNNN","1                                                                                                  ","","","","3/15/2012 9:17:47 AM","90002278","","CORNWALL-ELEC.","CORNWALL-ELEC.","E","12/16/1999 12:00:00 AM","Y","CR"
"130","CORNWALL ONT. (CITY )- TAXES","BILLING AND COLLECTION OFFICE","340 PITT STREET","CORNWALL","ON","K6J 3P9","John Flannigan","=""0""","8","","99","","NNNNNNNN","","","","","12/7/2008 4:53:56 AM","90000813","","CORNWALL-TAXES","CORNWALL-TAXES","E","2/15/1998 12:00:00 AM","Y","CR"
"131","SOUTH STORMONT (TWP) - TAXES","","P.O. Box 340","INGLESIDE","ON","K0C 1M0","Johanna Barkley","=""0""","99","","15","","NNNNNNNNNNNNNNN","","","","","8/6/2010 1:08:50 PM","=""00000000""","","S. STORMONT-TAX","S. STORMONT-TAX","E","2/15/1998 12:00:00 AM","Y","CR"
"132","CORNWALL ONT, CITY OF - WATER","BILLING AND COLLECTION OFFICE","P.O. BOX 877","CORNWALL","ON","K6H 5T9","John Flannigan","=""0""","99","","=""06""","","ANNNNN","","","","","12/7/2008 4:53:56 AM","90000822","","CORNWALL-WATER","CORNWALL-WATER","E","2/15/1998 12:00:00 AM","Y","CR"
"133","SOUTH STORMONT (TWP) - WATER","","P.O. Box 340","INGLESIDE","ON","K0C 1M0","Judy Eastman","=""0""","99","","15","","NNNNNNNNNNNNNNN","","","","","8/6/2010 1:07:50 PM","=""00000000""","","S. STORMONT-WTR","S. STORMONT-WTR","E","2/15/1998 12:00:00 AM","Y","CR"
"137","DURHAM ONTARIO, REGION OF - WATER","FINANCE - WATER BILLING","605 Rossland Road East","WHITBY","ON","L1N 0B1","Kim McCann","=""0""","99","","11","","NNNNNNNN NNN","","","","","6/16/2011 9:30:06 AM","90003062","","DURHAM-WATER","DURHAM-WATER","E","7/26/2000 12:00:00 AM","Y","CR"
"139","LOYALIST TOWNSHIP - WATER","TREASURY","P.O.BOX 70","ODESSA","ON","K0H 2H0","Sally Alkenbrack","=""0""","15","","99","","NNNNNNNNNNNNNNN","","","","","12/3/2009 7:59:08 AM","90009869","","LOYALIST-WATER","LOYALIST-WATER","E","2/15/1998 12:00:00 AM","Y","CR"
"141","EXPOSITOR, THE (BRANTFORD ONTARIO)","BUSINESS OFFICE","53 DALHOUSIE STREET","BRANTFORD","ON","N3T 2H9","Liz Sutherland","=""0""","99","","=""08""","","NNNNNNNN","","","","","9/11/2014 2:25:11 PM","=""00000000""","","EXPOSITOR","EXPOSITOR","E","2/15/1998 12:00:00 AM","Y","CR"
"143","FORT ERIE ONTARIO, TOWN OF - TAXES","Finance","206 Jarvis Street","FORT ERIE","ON","L2A 2S6","Andrew Koopmans","=""0""","15","","99","","NNNNNNNNNNNNNNN","","2703                                                                                               ","=""0000                                                                                               ""","","7/4/2012 3:30:56 PM","90009440","","FORT ERIE-TAX","FORT ERIE-TAX","E","2/15/1998 12:00:00 AM","Y","CR"
"144","FORT ERIE ONTARIO, TOWN OF - WATER","FINANCE","206 JARVIS STREET","FORT ERIE","ON","L2A 2S6","Margaret Newbauer","=""0""","8","","99","","NNNNNNNN","","","","","6/16/2011 9:32:34 AM","90010018","","FORT ERIE-WATER","FORT ERIE-WATER","E","2/15/1998 12:00:00 AM","Y","CR"
"145","FRANCIS FUELS/CAN PETRO-FRANCIS ONT","MIS","105-28 Concourse Gate","NEPEAN","ON","K2E 7T7","Brent Francis","=""0""","7","","99","","NNNNNNN","","","","","4/9/2010 3:07:13 PM","90005328","","FRANCIS FUELS","FRANCIS FUELS","E","2/15/1998 12:00:00 AM","Y","CR"
"147","PORT HAWKESBURY NS (TAXES)","","P. O. Box 10","PORT HAWKESBURY","NS","B0E 2V0","Barbara Cashin","=""0""","99","","=""08""","","NNNNNNNN","","","","","12/7/2008 4:53:56 AM","=""00000000""","","PORT HAWKESBURY","PORT HAWKESBURY","E","5/1/2000 12:00:00 AM","Y","CR"
"148","GODERICH HYDRO","ADMINISTRATION","64 WEST STREET","GODERICH","ON","N7A 2K4","Jackie Harrison","=""0""","99","","=""09""","","NNN NNNNNN","","","","","11/16/2012 9:47:58 AM","=""00000000""","","GODERICH HYDRO","GODERICH HYDRO","E","10/30/2000 12:00:00 AM","Y","CR"
"150","GRIMSBY POWER INCORPORATED","","231 ROBERTS ROAD","GRIMSBY","ON","L3M 5N2","Irene Farbotko","=""0""","7","","99","","NNNNNNN","","","","","10/20/2011 11:42:03 AM","90002704","","GRIMSBY POWER","GRIMSBY POWER","E","2/15/1998 12:00:00 AM","Y","CR"
"151","GRIMSBY ONTARIO - WATER","DEPUTY TREASURE","BOX 159","GRIMSBY","ON","L3M 4G3","Norene Broome","=""0""","13","","99","","NNNNNNNNNNNNN","","","","","3/27/2012 12:43:21 PM","90002795","","GRIMSBY WATER","GRIMSBY WATER","E","2/15/1998 12:00:00 AM","Y","CR"
"152","GUELPH HYDRO","BILLING","395 Southgate Drive","GUELPH","ON","N1G 4Y1","Marianne Bauer","=""0""","18","","99","","NNNNNNNNNNNNNNNNNN","","","","","2/20/2009 9:49:18 AM","90003669","","GUELPH HYDRO","GUELPH HYDRO","E","4/17/1998 12:00:00 AM","Y","CR"
"154","HALTON HILLS - HYDRO","CONTROLLER","43 ALICE ST","ACTON","ON","L7J 2A9","Norma L. Weir","=""0""","18","","99","","NNNNNNNNNNNNNNNNNN","","","","","10/20/2011 11:51:48 AM","90008138","","HALTON HILLS HY","HALTON HILLS HY","E","9/13/2000 12:00:00 AM","Y","CR"
"155","PORT HAWKESBURY NS (WATER)","","P. O. Box 10","PORT HAWKESBURY","NS","B0E 2V0","Barbara Cashin","=""0""","99","","=""08""","","NNNNNNNN","","","","","2/11/2013 3:23:41 PM","=""00000000""","","PORT HAWKESBURY","PORT HAWKESBURY","E","5/1/2000 12:00:00 AM","Y","CR"
"156","HORIZON UTILITIES CORPORATION","CREDIT","55 JOHN STREET NORTH","HAMILTON","ON","L8N 2B9","Joanne Vandenberg","=""0""","99","","12","","NNNNNNNNNNNN","","","","","6/2/2014 2:32:55 PM","90002937","","HORIZON UTIL.","HORIZON UTIL.","E","10/26/2000 12:00:00 AM","Y","CR"
"157","HAMILTON (CITY) - TAXES","TREASURY","71 MAIN STREET WEST","HAMILTON","ON","L8P 4Y5","Jackie Buckle","=""0""","11","","99","","NNNNNNNNNNN","","","","","7/16/2012 3:09:48 PM","90009930","","HAMILTON TAXES","HAMILTON TAXES","E","2/15/1998 12:00:00 AM","Y","CR"
"159","WESTARIO POWER INC.","","385 Queen Street","KINCARDINE","ON","N2Z 2R4","David Nini","=""0""","99","","=""08""","","NNNNNNNN","","","","","4/2/2014 1:27:11 PM","90013319","","WESTARIO POWER","WESTARIO POWER","E","2/15/1998 12:00:00 AM","Y","CR"
"160","HOGG FUEL & SUPPLY LTD (ONTARIO)","CREDIT","5 HILL STREET","KITCHENER","ON","N2G 3X4","Diane McBay","=""0""","9","","99","","NNNNNNNNN","","","","","9/12/2014 12:53:26 PM","90009182","","HOGG FUEL","HOGG FUEL","E","2/15/1998 12:00:00 AM","Y","CR"
"161","ERIE THAMES POWERLINES CORPORATION","ADMINISTRATION","143 Bell Street, P.O.Box 157","INGERSOLL","ON","N5C 3K5","Kathleen Paddon","=""0""","10","","99","","NNNNNNNNNN","","","","","10/20/2011 11:50:03 AM","90016931","","ET POWERLINES","ET POWERLINES","E","9/14/2000 12:00:00 AM","Y","CR"
"162","INNISFIL HYDRO","CUSTOMER SERVICE","2073 COMMERCE PARK DRIVE","THORNTON","ON","L0L 2N0","Marj Stewart","=""0""","11","","99","","NNNNNNNNNNN","","","","","6/2/2014 2:35:15 PM","90003133","","INNISFIL HYDRO","INNISFIL HYDRO","E","2/15/1998 12:00:00 AM","Y","CR"
"165","KING ONT, TOWNSHIP - TAXES","TREASURY","3565 KING ROAD","KING CITY","ON","L7B 1A1","Sue Leonard","=""0""","15","","99","","NNNNNNNNNNNNNNN","=""000                                                                                                ""","","=""0000                                                                                               ""","","4/19/2011 4:11:43 PM","90001741","","KING, TWNSHP TX","KING, TWNSHP TX","E","2/15/1998 12:00:00 AM","Y","CR"
"166","KING ONT, TOWNSHIP - WATER","TREASURY","3565 KING ROAD","KING CITY","ON","L7B 1A1","Sue Leonard","=""0""","10","","99","","NNNNNNNNNN","100 200 300 400 500 600                                                                            ","","","","4/20/2011 8:29:46 AM","90001750","","KING, TWNSHP WT","KING, TWNSHP WT","E","2/15/1998 12:00:00 AM","Y","CR"
"169","UTILITIES KINGSTON","CASH OFFICE","211 COUNTER STREET","KINGSTON","ON","K7K 6C7","Customer Service X 1240","=""0""","6","","99","","NNNNNN","1   2                                                                                              ","","","","3/17/2014 11:05:27 AM","90006602","","UTIL. KINGSTON","UTIL. KINGSTON","E","6/5/2000 12:00:00 AM","Y","CR"
